所,ショ、ところ,1,1
扇,セン、おうぎ,1,1
扉,ヒ、とびら,1,1
手,シュ、て、[た],1,2
才,サイ,1,0
打,ダ、う-つ,1,1
払,フツ、はら-う,1,1
扱,あつか-う,0,1
扶,フ,1,0
批,ヒ,1,0
承,ショウ、うけたまわ-る,1,1
技,ギ、わざ,1,1
抄,ショウ,1,0
把,ハ,1,0
抑,ヨク、おさ-える,1,1
投,トウ、な-げる,1,1
抗,コウ,1,0
折,セツ、お-る、おり、お-れる,1,3
抜,バツ、ぬ-く、ぬ-ける、ぬ-かす、ぬ-かる,1,4
択,タク,1,0
披,ヒ,1,0
抱,ホウ、だ-く、いだ-く、かか-える,1,3
抵,テイ,1,0
抹,マツ,1,0
押,オウ、お-す、お-さえる,1,2
抽,チュウ,1,0
担,タン、かつ-ぐ、にな-う,1,2
拉,ラ,1,0
拍,ハク、[ヒョウ],2,0
拐,カイ,1,0
拒,キョ、こば-む,1,1
拓,タク,1,0
拘,コウ,1,0
拙,セツ、つたな-い,1,1
招,ショウ、まね-く,1,1
拝,ハイ、おが-む,1,1
拠,キョ、コ,2,0
拡,カク,1,0
括,カツ,1,0
拭,ショク、ふ-く、ぬぐ-う,1,2
拳,ケン、こぶし,1,1
拶,サツ,1,0
拷,ゴウ,1,0
拾,シュウ、ジュウ、ひろ-う,2,1
持,ジ、も-つ,1,1
指,シ、ゆび、さ-す,1,2
挑,チョウ、いど-む,1,1
挙,キョ、あ-げる、あ-がる,1,2
挟,キョウ、はさ-む、はさ-まる,1,2
挨,アイ,1,0
挫,ザ,1,0
振,シン、ふ-る、ふ-るう、ふ-れる,1,3
挿,ソウ、さ-す,1,1
捉,ソク、とら-える,1,1
捕,ホ、と-らえる、と-らわれる、と-る、つか-まえる、つか-まる,1,5
捗,チョク,1,0
捜,ソウ、さが-す,1,1
捨,シャ、す-てる,1,1
据,す-える、す-わる,0,2
捻,ネン,1,0
掃,ソウ、は-く,1,1
授,ジュ、さず-ける、さず-かる,1,2
掌,ショウ,1,0
排,ハイ,1,0
掘,クツ、ほ-る,1,1
掛,か-ける、か-かる、かかり,0,3
採,サイ、と-る,1,1
探,タン、さぐ-る、さが-す,1,2
接,セツ、つ-ぐ,1,1
控,コウ、ひか-える,1,1
推,スイ、お-す,1,1
措,ソ,1,0
掲,ケイ、かか-げる,1,1
描,ビョウ、えが-く、か-く,1,2
提,テイ、さ-げる,1,1
揚,ヨウ、あ-げる、あ-がる,1,2
換,カン、か-える、か-わる,1,2
握,アク、にぎ-る,1,1
揮,キ,1,0
援,エン,1,0
揺,ヨウ、ゆ-れる、ゆ-る、ゆ-らぐ、ゆ-るぐ、ゆ-する、ゆ-さぶる、ゆ-すぶる,1,7
損,ソン、そこ-なう、そこ-ねる,1,2
搬,ハン,1,0
搭,トウ,1,0
携,ケイ、たずさ-える、たずさ-わる,1,2
搾,サク、しぼ-る,1,1
摂,セツ,1,0
